iter	RMSE
0	1.599669161
1	1.57567474
2	1.552311307
3	1.530039214
4	1.509464198
5	1.487972113
6	1.467980312
7	1.449045365
8	1.431185616
9	1.41337549
10	1.396654432
11	1.380311374
12	1.36462616
13	1.34910243
14	1.335823737
15	1.321362134
16	1.307664491
17	1.294288829
18	1.281293666
19	1.269195414
20	1.257255539
21	1.247324094
22	1.236066887
23	1.225444335
24	1.214789159
25	1.205250402
26	1.195917703
27	1.187321733
28	1.179273003
29	1.171375335
30	1.163407932
31	1.15653535
32	1.149282278
33	1.14275819
34	1.135697596
35	1.1296131
36	1.123475812
37	1.117706282
38	1.112016869
39	1.107025197
40	1.102102961
41	1.096693366
42	1.091772435
43	1.087386334
44	1.083376264
45	1.078805743
46	1.074762675
47	1.07140553
48	1.067785045
49	1.063966784
50	1.061097108
51	1.057798758
52	1.054677486
53	1.051114153
54	1.047697369
55	1.044964026
56	1.041835417
57	1.03952784
58	1.03656791
59	1.034330927
60	1.031417324
61	1.029440674
62	1.027290256
63	1.024781813
64	1.022344809
65	1.020288073
66	1.018164256
67	1.015959486
68	1.013987249
69	1.012025224
70	1.009888
71	1.007974132
72	1.006184454
73	1.004448696
74	1.002639952
75	1.001053165
76	0.9994037461
77	0.9975885375
78	0.9956758817
79	0.9938826182
80	0.9926261221
81	0.9915574986
82	0.9903213651
83	0.9891722841
84	0.9877917864
85	0.9860867613
86	0.9846968917
87	0.9834759049
88	0.9821550518
89	0.9807478025
90	0.9793819829
91	0.9778333381
92	0.9766738205
93	0.975396763
94	0.9746433902
95	0.97347653
96	0.9724727387
97	0.9711850058
98	0.9702104292
99	0.9689905136
100	0.9676300601
101	0.9667440693
102	0.9659945885
103	0.965325183
104	0.964154418
105	0.9633324739
106	0.9624719821
107	0.9617074637
108	0.9607414699
109	0.9597285734
110	0.958878064
111	0.9583651878
112	0.9578477554
113	0.9571463535
114	0.9562410344
115	0.9555721284
116	0.9542812826
117	0.9536266128
118	0.952794994
119	0.9520357303
120	0.9512233127
121	0.9502000333
122	0.9493695845
123	0.9483981115
124	0.9477012819
125	0.9470379873
126	0.94650221
127	0.9458240867
128	0.9451590888
129	0.9443098191
130	0.9434540767
131	0.9424793524
132	0.941416109
133	0.9406893789
134	0.9401866278
135	0.9397619349
136	0.9391872062
137	0.9387265612
138	0.9378753901
139	0.9373471082
140	0.9371222178
141	0.9365071127
142	0.9356822088
143	0.93471131
144	0.9337706819
145	0.9333337871
146	0.9326482093
147	0.9321325053
148	0.9318009273
149	0.9311831327
150	0.9308630502
151	0.9303185947
152	0.9300915439
153	0.9290370488
154	0.9285051728
155	0.9276801349
156	0.9271918103
157	0.9265106668
158	0.9260013475
159	0.9253916996
160	0.9248725583
161	0.9243792475
162	0.9239071756
163	0.923314024
164	0.9229721201
165	0.9224869506
166	0.9222481294
167	0.9216630455
168	0.9205315932
169	0.9201449782
170	0.9194194659
171	0.9188811403
172	0.9184914913
173	0.9177413666
174	0.9172665994
175	0.9168183202
176	0.9162128318
177	0.9158891482
178	0.9153623353
179	0.9148551843
180	0.9145818757
181	0.9141035548
182	0.9137230835
183	0.9131492023
184	0.9120486181
185	0.9117441755
186	0.9112569413
187	0.9110095482
188	0.9105708991
189	0.9097882359
190	0.9093701805
191	0.9089868822
192	0.9087678032
193	0.9084179143
194	0.9081091387
195	0.9076962403
196	0.9073103297
197	0.9068556698
198	0.9062703451
199	0.9059516317
200	0.905554689
201	0.9049775898
202	0.9041694179
203	0.9036322752
204	0.9034224693
205	0.903007091
206	0.9027323315
207	0.9023183382
208	0.9019749149
209	0.9015643019
210	0.9012537132
211	0.900763353
212	0.9002471146
213	0.9000050944
214	0.8994472332
215	0.8991872682
216	0.8988162634
217	0.8984980131
218	0.8976967934
219	0.8970757601
220	0.8968809314
221	0.8965237293
222	0.8961353886
223	0.8959533234
224	0.8956566978
225	0.8952831645
226	0.8947160558
227	0.8943794769
228	0.8942127338
229	0.8939511783
230	0.8934886737
231	0.892846545
232	0.8925272641
233	0.8919705837
234	0.8917846668
235	0.8916401994
236	0.8912405272
237	0.8908944344
238	0.8905035466
239	0.8903656026
240	0.8902536393
241	0.8900855101
242	0.889887027
243	0.8897144802
244	0.8895130316
245	0.8889998204
246	0.8886246559
247	0.8883281671
248	0.8878558036
249	0.8874732929
250	0.8869944134
251	0.8867329776
252	0.8861292384
253	0.8856166592
254	0.8851626003
255	0.88461946
256	0.8843920241
257	0.8839411762
258	0.8832953592
259	0.8828269243
260	0.8822303235
261	0.8820221272
262	0.8815417697
263	0.8812285153
264	0.8809594721
265	0.8802725531
266	0.879883211
267	0.8795641041
268	0.8787280886
269	0.8786324651
270	0.8783366911
271	0.8778878121
272	0.8776856589
273	0.8771689344
274	0.8768606534
275	0.8763076418
276	0.8761216685
277	0.8759152156
278	0.8756286965
279	0.8753461528
280	0.8752337209
281	0.8749200916
282	0.8745119857
283	0.8741985033
284	0.8738530594
285	0.87357001
286	0.873229186
287	0.8730174384
288	0.8728621303
289	0.8727176395
290	0.8722263344
291	0.8719682431
292	0.8716283469
293	0.8709449842
294	0.8706861582
295	0.870352155
296	0.8700627148
297	0.8699452261
298	0.8696563963
299	0.8690894668
300	0.8689559452
301	0.8686784986
302	0.868273873
303	0.8675171298
304	0.8671543283
305	0.8669873564
306	0.8666187052
307	0.8664454666
308	0.8661704687
309	0.8659361164
310	0.8655566274
311	0.8654534608
312	0.8652074801
313	0.8646844978
314	0.8641925703
315	0.8635303662
316	0.8633281758
317	0.8629568297
318	0.8628622696
319	0.8627299469
320	0.8625369168
321	0.8621249229
322	0.8619707268
323	0.8618268804
324	0.8616616966
325	0.8612884549
326	0.8609575565
327	0.8608934414
328	0.8608409466
329	0.8603769254
330	0.8600415888
331	0.8599547718
332	0.8598257552
333	0.8591100594
334	0.8587112956
335	0.8585386559
336	0.857940749
337	0.8578346895
338	0.8576135336
339	0.857458382
340	0.8571936538
341	0.8567296453
342	0.8563251415
343	0.8562845898
344	0.856168942
345	0.8560941723
346	0.8559045847
347	0.8554062491
348	0.8553591937
349	0.8548208511
350	0.8544633541
351	0.8542485987
352	0.8540293811
353	0.8539440868
354	0.8535879916
355	0.8532591967
356	0.8529118383
357	0.8524867364
358	0.8520855925
359	0.8517053232
360	0.8512080648
361	0.8510648645
362	0.8510097294
363	0.8509608361
364	0.8509126927
365	0.8508604382
366	0.8506782009
367	0.8506283508
368	0.8505202095
369	0.8504055631
370	0.8502083123
371	0.8500995017
372	0.8496670583
373	0.8495864941
374	0.8494673842
375	0.848939958
376	0.848590606
377	0.8485459179
378	0.8483144101
379	0.8477750559
380	0.8474979428
381	0.8473220919
382	0.8468706206
383	0.8465656103
384	0.8463786707
385	0.845916268
386	0.8458710954
387	0.845826267
388	0.8456697299
389	0.8452198449
390	0.8450310121
391	0.8448348964
392	0.844675779
393	0.8445386231
394	0.8444116614
395	0.8442345015
396	0.8440318698
397	0.8437397656
398	0.8436207259
399	0.8435678738
400	0.8432802289
401	0.8431401168
402	0.8430700811
403	0.8429963868
404	0.8429062324
405	0.8428607695
406	0.8425539198
407	0.8425038269
408	0.8423346883
409	0.8419451685
410	0.8415010335
411	0.8411712294
412	0.841129283
413	0.8407865061
414	0.8404780758
415	0.8403750505
416	0.8403293376
417	0.8399605722
418	0.8399201446
419	0.8397757014
420	0.8397365539
421	0.8396975567
422	0.8395621165
423	0.8391577024
424	0.8389267661
425	0.8386673987
426	0.8384979425
427	0.8382293151
428	0.8378747435
429	0.8376807259
430	0.8373864595
431	0.8369922568
432	0.8367780952
433	0.8364947102
434	0.8363191605
435	0.8359330652
436	0.8358865395
437	0.8355637169
438	0.8355251683
439	0.8351753091
440	0.8349589056
441	0.8349135855
