iter	Passed	Remaining
0	101	101320
1	109	54842
2	127	42351
3	139	34849
4	157	31316
5	220	36592
6	250	35603
7	282	34986
8	298	32863
9	326	32274
10	339	30552
11	353	29140
12	376	28561
13	479	33785
14	488	32048
15	493	30343
16	497	28793
17	503	27456
18	508	26242
19	513	25143
20	523	24405
21	547	24359
22	559	23773
23	566	23046
24	572	22320
25	578	21658
26	582	21007
27	591	20534
28	598	20052
29	603	19528
30	609	19043
31	620	18755
32	627	18373
33	632	17979
34	641	17696
35	647	17349
36	654	17022
37	661	16746
38	668	16482
39	680	16338
40	686	16055
41	694	15838
42	702	15627
43	709	15421
44	722	15327
45	728	15106
46	734	14898
47	741	14712
48	748	14521
49	755	14346
50	760	14156
51	767	13987
52	773	13812
53	780	13677
54	787	13535
55	795	13403
56	801	13253
57	807	13119
58	815	13010
59	821	12871
60	827	12737
61	833	12607
62	839	12486
63	846	12372
64	851	12243
65	856	12115
66	861	11992
67	872	11958
68	880	11884
69	887	11793
70	894	11699
71	900	11605
72	906	11510
73	914	11447
74	920	11358
75	926	11261
76	932	11172
77	937	11082
78	942	10993
79	949	10914
80	955	10840
81	960	10754
82	966	10680
83	971	10589
84	978	10532
85	996	10589
86	1003	10527
87	1009	10464
88	1015	10394
89	1020	10323
90	1026	10251
91	1031	10181
92	1036	10111
93	1042	10045
94	1047	9979
95	1052	9912
96	1058	9850
97	1062	9783
98	1067	9713
99	1071	9646
100	1077	9591
101	1083	9536
102	1088	9481
103	1093	9418
104	1098	9360
105	1103	9309
106	1115	9308
107	1121	9262
108	1127	9218
109	1145	9268
110	1152	9232
111	1158	9182
112	1163	9134
113	1168	9082
114	1175	9045
115	1180	8997
116	1185	8945
117	1190	8895
118	1195	8853
119	1200	8803
120	1207	8771
121	1214	8741
122	1220	8701
123	1227	8669
124	1232	8624
125	1237	8581
126	1243	8546
127	1248	8507
128	1253	8466
129	1259	8428
130	1264	8389
131	1269	8351
132	1275	8314
133	1281	8279
134	1285	8239
135	1290	8201
136	1297	8170
137	1302	8136
138	1312	8129
139	1319	8104
140	1321	8050
141	1325	8010
142	1330	7971
143	1333	7929
144	1337	7888
145	1343	7855
146	1347	7821
147	1353	7793
148	1358	7757
149	1363	7727
150	1371	7712
151	1376	7676
152	1382	7650
153	1388	7625
154	1393	7595
155	1398	7568
156	1404	7539
157	1408	7507
158	1414	7479
159	1419	7454
160	1426	7431
161	1431	7404
162	1436	7375
163	1441	7346
164	1445	7317
165	1452	7297
166	1456	7266
167	1461	7238
168	1465	7207
169	1470	7180
170	1475	7153
171	1480	7126
172	1485	7101
173	1491	7078
174	1496	7055
175	1501	7032
176	1507	7009
177	1513	6991
178	1518	6963
179	1523	6940
180	1530	6923
181	1534	6896
182	1543	6890
183	1549	6869
184	1555	6852
185	1560	6828
186	1566	6808
187	1571	6786
188	1576	6763
189	1582	6746
190	1587	6722
191	1593	6704
192	1598	6684
193	1608	6683
194	1620	6690
195	1627	6675
196	1635	6666
197	1645	6663
198	1650	6641
199	1655	6622
200	1670	6639
201	1681	6644
202	1695	6657
203	1702	6642
204	1708	6627
205	1714	6606
