,id,host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,days_from_last_review
id,1.0,0.5731262841816435,-0.014860811454982354,0.07393620014039577,-0.04362129033773648,-0.15717276996161592,-0.30087557835035084,0.3695187772623491,0.0819053197678183,0.07981799675049925,-0.35688341293539094
host_id,0.5731262841816435,1.0,0.025433347860171925,0.1058084836087361,-0.09686956882511677,-0.1792919439381306,-0.11778948748601051,0.2588367088020313,0.10677604726602505,0.11729254907830139,-0.2049626893048654
latitude,-0.014860811454982354,0.025433347860171925,1.0,0.04420921516037172,0.11438254760420817,0.017180399323476925,-0.020906450306997178,-0.03465447145055118,-0.024514398943733282,-0.028575891992518723,0.04648992724435502
longitude,0.07393620014039577,0.1058084836087361,0.04420921516037172,1.0,-0.4147121955777364,-0.11646175390756384,0.06843742431496891,0.10036646751435757,0.08163771081330981,0.07448866290194513,-0.0796231937541943
price,-0.04362129033773648,-0.09686956882511677,0.11438254760420817,-0.4147121955777364,1.0,0.11500116625465806,-0.0209137537232724,-0.01893949042183737,-0.15695788545353642,0.06997958688809695,-0.021857744741574703
minimum_nights,-0.15717276996161592,-0.1792919439381306,0.017180399323476925,-0.11646175390756384,0.11500116625465806,1.0,-0.13797496525617484,-0.2643006673210819,0.013187431646305795,0.048462646786607076,0.15835756683821042
number_of_reviews,-0.30087557835035084,-0.11778948748601051,-0.020906450306997178,0.06843742431496891,-0.0209137537232724,-0.13797496525617484,1.0,0.7006676013977087,0.08274066995736146,0.29053839532904197,-0.5014820609148408
reviews_per_month,0.3695187772623491,0.2588367088020313,-0.03465447145055118,0.10036646751435757,-0.01893949042183737,-0.2643006673210819,0.7006676013977087,1.0,0.13780684188474135,0.3853247904988685,-0.7990090438183173
calculated_host_listings_count,0.0819053197678183,0.10677604726602505,-0.024514398943733282,0.08163771081330981,-0.15695788545353642,0.013187431646305795,0.08274066995736146,0.13780684188474135,1.0,0.37451200187924116,-0.14468876364914196
availability_365,0.07981799675049925,0.11729254907830139,-0.028575891992518723,0.07448866290194513,0.06997958688809695,0.048462646786607076,0.29053839532904197,0.3853247904988685,0.37451200187924116,1.0,-0.4695387662762807
days_from_last_review,-0.35688341293539094,-0.2049626893048654,0.04648992724435502,-0.0796231937541943,-0.021857744741574703,0.15835756683821042,-0.5014820609148408,-0.7990090438183173,-0.14468876364914196,-0.4695387662762807,1.0
